Email;Body;Subject;EmailTypeDictionaryId;IsEnabled
jan.kowalski@example.com;Your sign-in code is 184233. It expires in 10 minutes.;Carly sign-in code;1;1
anna.nowak@example.com;Welcome to Carly. Please verify your email by clicking the link in the app.;Verify your email;2;1
piotr.zielinski@example.com;Booking confirmed. BookingId 6. Pickup 2025-11-20 09:00 Return 2025-11-22 09:00.;Booking confirmed;3;1
katarzyna.wojcik@example.com;Booking cancelled. BookingId 4. If this was a mistake please contact support.;Booking cancelled;4;1
michal.krawczyk@example.com;Invoice generated for BookingId 1. Total 2400.00 PLN.;Invoice available;5;1
agnieszka.kaminska@example.com;Notification: Your profile was updated successfully.;Profile updated;6;1
tomasz.lewandowski@example.com;Your sign-in code is 993104. It expires in 10 minutes.;Carly sign-in code;1;1
magdalena.dabrowska@example.com;Booking confirmed. BookingId 14. Enjoy your ride.;Booking confirmed;3;1
pawel.szymanski@example.com;Your sign-in code is 551209. It expires in 10 minutes.;Passwordless login;7;1
karolina.kozlowska@example.com;Notification: Scheduled maintenance may affect availability on 2025-12-10.;Maintenance notice;6;1
support@carly.local;Internal notification: nightly job completed successfully.;Internal job status;\N;1
