CustomerId;LicenceCategoryDictionaryId;LicenceNumber;IssueDate;ValidFrom;ValidTo;IsValid
1;5;PL-B-1000001;2008-06-15;2008-06-15;2028-06-15;1
2;5;PL-B-1000002;2013-09-10;2013-09-10;2033-09-10;1
3;5;PL-B-1000003;2006-04-20;2006-04-20;2026-04-20;1
4;5;PL-B-1000004;2011-11-05;2011-11-05;2031-11-05;1
5;5;PL-B-1000005;2005-02-18;2005-02-18;2025-02-18;0
5;6;PL-BE-2000005;2007-03-01;2007-03-01;2027-03-01;1
6;5;PL-B-1000006;2017-08-22;2017-08-22;2037-08-22;1
7;5;PL-B-1000007;2009-05-30;2009-05-30;2029-05-30;1
7;7;PL-C-3000007;2014-10-12;2014-10-12;2034-10-12;1
8;5;PL-B-1000008;2012-01-14;2012-01-14;2032-01-14;1
9;5;PL-B-1000009;2004-07-07;2004-07-07;2024-07-07;0
10;5;PL-B-1000010;2016-12-19;2016-12-19;2036-12-19;1
10;10;PL-T-9000010;2018-03-10;2018-03-10;2028-03-10;1
